User,Edited Articles,Total Edits,Total Minors
Small Axe,25,45,38
Matthäus Wander,23,45,34
JuergenL,22,45,29
Konrad Lackerbeck,18,45,10
Acf,17,45,29
Vincent Eisfeld,13,45,9
.Manu.,12,45,13
Benowar,11,45,30
Mrdaemon,5,45,14
Liberalis,3,45,22
imported>Christmasgirl,1,45,0
Eskimbot,38,44,44
LucienBOT,38,44,44
Darkone,34,44,41
08-15,30,44,30
Unfugsbeseitiger,29,44,41
Max-78,27,44,33
Kku,26,44,32
Zxmt,24,44,27
Dontworry,24,44,36
Mwka,23,44,12
Goesseln,22,44,16
Schwijker,17,44,42
Erwin E aus U,15,44,21
Bettenburg,14,44,38
Universalamateur,10,44,13
Mmg,9,44,29
H2SO4,9,44,13
Johannes44,9,44,17
Bluemel1,8,44,3
Uwe Lück,5,44,7
Micha99,5,44,0
Cyrus Grisham,4,44,17
Breogan67,4,44,30
Bakulan,3,44,8
Heinte,38,43,43
Hahnenkleer,33,43,21
Indeedous,31,43,3
SashatoBot,24,43,43
Zero Thrust,22,43,18
Cosal,17,43,42
Magadan,17,43,23
FinnlandFreund,14,43,0
Sic!,9,43,8
Roxedl,8,43,7
Seelefant,8,43,17
Grip99,8,43,10
Gerold Rosenberg,6,43,0
Uyfing,3,43,16
Matthias v.d. Elbe,3,43,12
CactusBot,39,42,42
LaaknorBot,36,42,42
Umherirrender,35,42,42
Mikered,34,42,15
PieRat,31,42,42
AlleborgoBot,31,42,42
Trustable,28,42,40
Bdk,26,42,23
Gripweed,25,42,42
Furfur,25,42,18
Flominator,25,42,27
Helenopel,23,42,0
J.-H. Janßen,23,42,13
Tilman Berger,21,42,33
Friedrichheinz,19,42,19
Cducsu,17,42,17
62.153.71.162,17,42,0
TobiasKlaus,16,42,23
Hoheit,16,42,15
Englandfan,14,42,5
Eschweiler,12,42,7
R2Dine,10,42,7
Archiv des Liberalismus,9,42,12
Bmstr,9,42,1
Freud,8,42,7
Corradox,6,42,12
Schrapers,4,42,8
Webcyss,4,42,17
Dominik.Kuehl,4,42,13
AnzugPasstHeute,2,42,0
JCS,25,41,14
Alexander Fischer,21,41,17
Wö-ma,18,41,5
LeoDavid,16,41,17
Themistokles1984,16,41,30
Stefan Bellini,15,41,22
Arieswings,15,41,34
Lobservateur,13,41,1
Damei81,13,41,7
Usquam,12,41,13
Bernd vdB,11,41,8
CrazyForce,8,41,2
EUBürger,7,41,9
Bwag,7,41,7
Der Eberswalder,7,41,13
Aveexoo,5,41,16
Allander,4,41,13
Haster,4,41,1
UweBayern,3,41,11
imported>Salsassin,1,41,0
Bubo bubo,31,40,35
Foundert,30,40,3
Chobot,30,40,38
XenonX3,28,40,33
Bota47,25,40,40
Iwesb,25,40,39
Liberaler Humanist,23,40,22
Herrick,23,40,16
PanchoS,22,40,9
=,19,40,15
Stobaios,12,40,8
Nico b.,11,40,17
Frado,11,40,2
M 93,8,40,3
Oreg,8,40,19
Rylha,6,40,17
Thdoerfler,6,40,7
Anomalie01,5,40,17
Taadma,3,40,19
Occulos,3,40,0
DavidHume1,3,40,4
194.25.143.58,1,40,0
Kiebitzi,1,40,5
FA2010,35,39,29
Koerpertraining,32,39,39
Gugerell,31,39,36
Holmium,28,39,31
Iste Praetor,25,39,34
Clemenceau,25,39,0
Tafkas,23,39,8
Phlixx,22,39,39
Ennimate,20,39,25
Hejkal,19,39,6
Schoener alltag,17,39,32
Zumbo,16,39,24
Cardhu,13,39,25
Krauterer,12,39,38
The Brainstorm,10,39,12
Feuerspiegel,10,39,25
Dick Tracy,9,39,2
ToddyB,8,39,31
Arbeiter- und Bauernmacht,6,39,27
Willi P,5,39,4
Gamba,3,39,8
212.202.224.62,1,39,0
Patrick0Moran,1,39,0
DodekBot,35,38,38
Escarbot,32,38,38
Eingangskontrolle,30,38,22
Idioma-bot,30,38,38
Mattes,28,38,24
Ri st,27,38,37
Jkü,26,38,33
RobotE,25,38,38
Nikkis,23,38,38
Cymothoa exigua,23,38,38
Katty,23,38,3
W!B:,22,38,22
OecherAlemanne,21,38,29
Bernardoni,21,38,12
Interpretix,21,38,22
Frank W. Matisse,21,38,0
Steffen,21,38,23
Sportfreund.php,20,38,31
Liborianer,16,38,0
KimHolgerKelting,14,38,6
Zipfelheiner,13,38,20
Ca$e,12,38,30
Drüfft,12,38,38
Mr. Froude,12,38,0
Edelseider,11,38,27
Toerbchen,10,38,14
Snahlemmuh,8,38,14
Aktionsheld,8,38,11
Tarantelle,8,38,9
Nb,7,38,7
Qhx,7,38,24
Negerfreund,6,38,3
NebMaatRe,6,38,22
Pamuk,4,38,2
Martin Rasmussen,3,38,13
Clari,2,38,6
Addicted,2,38,26
Blacky75,1,38,7
Eynre,33,37,31
Udo T.,31,37,36
Zorrobot,31,37,37
